user,tweet,sentimen
phobia_lapar,"RT @devidrosario: Puji Tuhan, Alhamdulillah Pak Pres @jokowi tunda pengesahan RKUHP 🙏🙏🙏",positif
Phewphew10,RT @detikcom: Wakil Ketua Komisi III DPR dari F-PDIP Herman Hery membela Presiden Jokowi yang dinilai tidak mengerti aturan karena meminta pengesahan RUU KUHP ditunda. https://t.co/qOmGXnu4mx,positif
perubahan_agen,RT @detikcom: Komnas HAM mengapresiasi langkah Presiden Joko Widodo (Jokowi) yang meminta pengesahan RKUHP ditunda. Ia berharap langkah itu diikuti oleh DPR. https://t.co/sdXjg06Eao,positif
pernahrajin,RT @detikcom: Anggota Komisi III DPR sekaligus Panja RUU KUHP Muslim Ayub mengaku kecewa dengan Presiden Jokowi yang meminta pengesahan RUU KUHP ditunda. Ini alasannya: #RUUKUHP https://t.co/XboenFr45j,positif
PermenYuppii,RT @detikcom: Anggota Komisi III DPR sekaligus Panja RUU KUHP Muslim Ayub mengaku kecewa dengan Presiden Jokowi yang meminta pengesahan RUU KUHP ditunda https://t.co/rfClBXkqNN,positif
PermadiReds,"RT @detikcom: ""Setuju (Pasal Perzinaan RKUHP dikaji ulang), negara tidak usah urus privasi warga negara dan penduduk, berlebihan dan melanggar HAM,"" ujar Eva Kusuma Sundari. https://t.co/Icsvlm9dym",positif
PerindoMuda,"RT @detikcom: ""Setuju (Pasal Perzinaan RKUHP dikaji ulang), negara tidak usah urus privasi warga negara dan penduduk, berlebihan dan melanggar HAM,"" ujar Eva Kusuma Sundari. https://t.co/9EtXtBFGRZ",positif
percapops,"RT @desti_utamii: Batalkan!!!! Jangan cuma tunda!
 https://t.co/vpUkIQDyi3",positif
pensillicin,"RT @demokrasicoid: Jokowi Minta RKUHP Ditunda, Gerindra Tuntut UU KPK Baru Dibatalkan!

#SettingDemoDemiLegitimasi https://t.co/ehnZbHIgO7",positif
pengabdirebahan,"RT @DeadlockHeaven: Dari tahun  2018 gue udah bikin beginian. 

Tujuannya supaya RKUHP itu bisa ditunda/direvisi jadi lebih waras tanpa harus banyak menimbulkan keributan.

Ternyata ngga ngaruh, tetep rame juga. 

Nasib. 😔 https://t.co/vTZWKAgkgY",positif
pengabdihunstu,"RT @ddaegubear: Presiden tunda RKUHP. 

Fahri Hamzah:
https://t.co/MIcsTRfJeP",positif
peneenk,"RT @dawiguna: @don_julR @Uki23 @Choco_strwbrry @namagueJove Belajar lagi yg bener!

RKUHP itu masih dalam PEMBAHASAN, belum disetujui.
Presiden sudah minta ditunda.
DPR RI sudah sepakat menunda, dlm sidang paripurna.

Jadi, kamu belajar lagi legislasi gih!",positif
pemanis_buatan_,"RT @daranasution_: Tolak RKUHP, PSI Anggap Adopsi Hukum Adat Bikin Cemas Pebisnis

@psi_id @rianernesto

Ayo Bro dan Sis, jangan berhenti bersuara!

#SemuaBisaKena
#TundaRKUHP

https://t.co/FSmU9UxfbO",positif
pejuangvikendi,"RT @DamarJuniarto: Puji Tuhan RKUHP ditunda.

Terima kasih Presiden @jokowi tapi tolong itu Menkumham harus merevisi dulu itu isi RKUHP yang ngaco-ngaco. https://t.co/5TZ8dERwo8",positif
pecharimbi,"RT @cyapila: Jokowi minta pengesahan RKUHP ditunda. DITUNDA, jadi hati-hati aja masih bisa muncul kembali. https://t.co/KqO5jYYJ6P",positif
pecandu_pubg,"RT @curtjerichoo: @agisubagio @dusrimulya atau anda yang dungu?presiden minta PEMBAHASAN dipercepat,pembahasannya bukan pengesahan,pemerintah ngusulin RKUHP karena KUHP yang lama peninggalan belanda,cuman penyusunan pasal pasalnya kan sama dpr juga,gimana sih logikanya",positif
peachynlion,"RT @crxzyble: kalo memang isi KUHP sudah banyak yg kuno, kenapa harus menolak adanya revisi? RKUHP yang kita permasalahkan saat ini, bisa dikaji kembali oleh DPR periode 2019-2024. 

sudah tepatkah pilihan kalian di April 2019 kemarin? kalau masih ragu, kawal terus.",positif
paramaeme,RT @CNNIndonesia: Ketua DPR Sebut Pasal Kontroversi RKUHP Bakal Dikaji Ulang https://t.co/m18FHJmFLI,positif
paramadina,RT @CNNIndonesia: Ketua DPR Pastikan Pengkajian Ulang RKUHP soal Pers https://t.co/wa9vhKudaT,positif
papakocheng,"RT @CNNIndonesia: @KomnasHAM Pasal RKUHP lain yang mencuri perhatian adalah makar. Definisi makar dinilai lentur dan berpotensi menjadi pasal karet. Kajian @KomnasHAM menemukan, pasal 193 RKUHP berpotensi disalahgunakan pemegang kekuasaan. https://t.co/a8mqywMckH",positif
pandagina_,"RT @chocolateuuyuu: Masih di tunda, bukan di batalkan. Terima kasih semua mahasiswa yang sudah turun ke jalan hari ini. Setidaknya rkuhp tidak di sahkan saat ini.

#HidupMahasiswa 
#HidupMahasiswa 
#HIDUPRAKYATINDONESIA 
#HIDUPRAKYATINDONESIA https://t.co/Y4ESUxQLZN",positif
Panca15765124,"RT @chicohakim: KUHP kita memang sudah waktunya untuk diganti. Dengan yang lebih baik dan sesuai tuntutan zaman tentunya. RKUHP yang kemarin ini akan disahkan belum memenuhi kriteria-kriteria itu. Ditunda, disempurnakan, untuk kemudian disahkan segera adalah jalan terbaik. https://t.co/kufL9qdZzw",positif
panama_kediri,"RT @Chicoathalla: @mncbkr @rahsoeparman Hi mbak, terimakasih atas kritiknya yang membangun. Mahasiswa pun setuju bahwa RKUHP harus direvisi, tetapi kami melihat bahwa masih banyak pasal yang membuka potensi kriminalisasi. Saya lampirkan tautan dari aliansi Reformasi KUHP ya, sila dibaca. https://t.co/ASL34Wbq9X",positif
PambudiSmarter,"RT @chesstef: @gabrielstev lagian ada klausul “mengganggu ketertiban umum”nya loh. Tanpa ada RKUHP, di KUHP yg peninggalan belanda jg udh diatur kok. Btw pasal tentang gelandangan bisa dipidana itu juga udh dari dulu ada di KUHP (yg skrg masih berlaku) loh😛 https://t.co/idPMNtVm1Y",positif
pakde2,"RT @Chandra95979376: Saat terjadi Demo dimana-mana, Presiden Jokowi langsung memanggil pejabat-pejabat ke Istana. Hasil terbaru,RKUHP , RUU Pertanahan, RUU Minerba dan RUU Pemasyarakatan akan DITUNDA PENGESAHANNYA.  #GejayanBergerak #TundaRKUHP #PercayaLangkahJokowi #DiperkosaNegara https://t.co/FC4a2sCSZs",positif
Paisalhermawaan,"RT @CH_chotimah: Yg menghubungkan sama oposisi siapa?
Jokowi sdh menunda pengesahan RKUHP tapi yg diminta mahasiswa RKUHP ditunda, paham disini ga?
Sedang pamer kebodohan tapi ngatain orang bodoh.😪 https://t.co/gaSADIKmLl",positif
PaisalAkbar30,"RT @CH_chotimah: UU KPK sdh diajukan diMK.
RKUHP dan yg lainnya sdh ditunda.
Dan besok jokowi akan bertemu pihak mahasiswa.
Semoga setelah ini ga ada lg aksi yg dilakukan mahasiswa. Penumpang gelap ga punya lg kendaraan unk melakukan kerusuhan.

https://t.co/ThhOAJVYoo",positif
painewt,"RT @CH_chotimah: Tunda RKUHP, jkw sdh menunda.

Jgn lemahkn KPK, yg minta bubarkn KPK malah oposisi.

Minta segera disahkan RUU PKS, yg menolak jg oposisi.

Minta elit2 yg terlibat kerusakn lingkungan bertangung jwb, yg jd tersangka anak buah sandiaga uno.

Tp demonya ttp ke jokowi.
Kalian Waras?",positif
paidichan,"RT @CH_chotimah: Mahasiswa minta RKUHP ditunda.
Jokowi menunda.
Oposisi ga se7 ditunda.
Tapi lucunya mahasiswa &amp; oposisi sm2 menyerang Jkw.

Begitu jg dgn RUU PKS.
Mahasiswa desak disahkn.
Oposisi demo tolak RUU PKS.
Tapi lucunya lg mahasiswa &amp; oposisi sm2 menyerang Jkw.

Ini yg bungul yg mana?😂 https://t.co/DiyqTZKhwz",positif
Padiltea1,RT @casiugaringmadu: IYA GUE LEBIH SUKA KUHP BUATAN BELANDA SOALNYA LEBIH JELAS DARI RANCANGAN RKUHP DEKOLONIALISME PALA BAPAK KAU ITU. hadeeeehhh https://t.co/oG1hgvRKP8,positif
pacearfan,"RT @carolina_puteri: Presiden Joko Widodo meminta DPR menunda pengesahan revisi Kitab Undang-Undang Hukum Pidana ( RKUHP) yang menuai polemik di masyarakat dan mengkaji ulang sejumlah 14 pasal dalam RKUHP

#MahasiswaBergerak
#JokowiMajuMasalahHilang 
#JokowiMajuIndonesiaMaju",positif
pacaroppa,"RT @carolina_puteri: ""Saya perintahkan Menkumham untuk menyampaikan sikap ini kpd DPR ini. Agar pngesahan RUU KUHP ditunda dan pngesahannya tak dilakukan DPR periode ini,"" kata Jokowi

Jokowi mnyebut prmintaan ini krna ia mncermati masukan brbagai kalangan yg berkeberatan dgn sejumlah substasi RKUHP.",positif
ozzyhfz,"RT @cagubnyinyir2: GOLKAR, PPP, PDIP Se7 !Presiden Jokowi minta pengesahan RUU KUHP ditunda. Menolak PAN, PKS &amp; Gerindra.
https://t.co/D31KMDHGvF
@gundala222 @IMulya77 @LisdiyantoR @mirzalialily @marpaung913 @GalihAkik @GitaTropika @johhhnygudhel",positif
oziwow,"RT @cagubnyinyir2: Agt DPR Muslim AYUB MURKA, Pres JOKOWI tunda RUU KUHP, kita sudah bahas bermalam-malam, berminggu-minggu, bertahun-tahun, kita bahas tidak selesai. Presiden itu tdk apresiasi kinerja kita, Kita kecewa.
https://t.co/Rm0ky2DBqb @USutendi @Djokopitoyo4 @f24nk1 @EndiWidjajaK @BHD_8",positif
OvitDiavolo,RT @bukanmileaa_: Yuk pahami dulu RKUHP #TolakRUUKUHP https://t.co/qlyfFY6ph4,positif
ouooouoohehe,"RT @budurtris: Akhirnya RKUHP ditunda sampai kapan?? 😇😂😂 ,  
nanti tengah malam kita sah kan😛😛😅

#RezimSarangKoruptor https://t.co/x4O2k0Uokc",positif
otwmatahari,"RT @budiuutami: Univ lain : ayo mahasiswa turun ke jalan, aksi demo, tunda rkuhp

Poltekkes : ayo mahasiswa turun ke kelas, aksi UTS, ayo mahasiswa UTS",positif
OsmanHardjojo,"RT @bokulos_: @7intaPutih @EmillyLuwita46_ @jokowi Oktober sudah dekat sekuat tenaga mrk kerahkan sgala cara utk tujuan Jokowi jatuh.

Tp Alhamdulillah RKUHP di tunda.",positif
Oslo_x,"RT @boemi_pertiwi: UU YG ANECH. ..... 
MEMANG SBAIKNYA DIKAJI ULANG .

SAYA RASA BETUL KLAU JOKOWI MENUNDA PENGESAHAN UU TSB.
DAN KLAU MEMANG TIDAK MEMENUHI SYARAT SBAIKNYA DIGANTI SAJA. 😊

Jokowi Minta Tunda RKUHP, Nasir Djamil: Tak Ada yang Berani Lawan https://t.co/tpiXI7l0Hu",positif
Oslen90798902,"RT @bocoransoal_: Nih aku kasih bocoran yah :

1. RKUHP sebenarnya perlu mahasiswa kaji lebih dalam tanpa perlu demo dan ga ngeri-ngeri amat kok itu.

2. Fokus demo ini harusnya : “Lawan Oligarki”

3. Sssst... jangan blg2 yah; RKUHP dibesar-besarkan supaya fokus kita teralihkan dari mslh sbnrnya.",positif
OrangPi49333575,"RT @Binsar_serbundo: @trendingtopiq @elisa_jkt pembahasan RKUHP ditunda !! makan dl, br pulang teratur jgn buat macet",positif
orangantenggggg,"RT @BimaBarataS1: @yunartowijaya Tentang RKUHP, rakyat mendesak presiden, RKUHP lalu ditunda sekarang giliran PKS desak presiden agar RKUHP disahkan,yg waras harus ngerti biang keroknya dimana? Presiden yg terus disalahin.",positif
oposisianarki,"RT @Betamerdeka01: @ctubelie @sidik2129 Seperti Fahri hamzah ya bro, yg dulu  masyarakat berharap juga mereka yg akan merobah bangsa lebih baik skrg dia yg g suka pengesahan RKUHP ditunda jokowi",positif
opal_putri,"RT @beritaKBR: Jokowi Minta DPR Tunda Pengesahan RKUHP https://t.co/zOgvVDdzej

Jokowi berharap DPR tak mengesahkan RUU KUHP pada periode 2014-2019, yang masa kerjanya hanya tinggal sepuluh hari.

Menurut Anda?

cc: @tunggalp @Jokowi  #RKHUP https://t.co/ZquEaMPofn",positif
opaklakar,"RT @beritaKBR: DPR Tunda 4 RUU, Mahasiswa Bersikeras Perppu KPK https://t.co/h2hKxBj7Sv  

""Intinya kita tidak mau ada produk yang dihasilkan DPR sampai periode ini selesai, terutama produk-produk RUU yang bermasalah"" Kata Badan Eksekutif Mahasiswa (BEM) Trisakti.

#DemoMahasiswa #RKUHP https://t.co/tfcXOmLAFX",positif
OojanFrey,"RT @Benyusriza: 3. RKUHP kan sudah ditunda, berarti mahasiswa menang dong! Udahan demonya ya! 

Apa kah iya dengan RKUHP ditunda, kita juga menunda kebodohan DPR dan Pemerintah? 
Apa kah menunda = membatalkan? Apa definisi menunda? Sampai kapan menunda? 

#HidupMahasiwa",positif
OneStopUnited,"RT @belamislam: nah gini kalau pemimpin sifat nya gak tegas ! loyo kek gitu kata orang yg di deketnya harus gitu. ya pasti ia ia aja krn kagak ngerti. tidak punya prinsip.

udh tau salah rkuhp nya masih di tunda. dasar wongdeso !

nikmatin aja istidrajmu wahai rezim zmnnow

#RezimButuhDuit",positif
OmJipRifki,"RT @BBCIndonesia: Meski Presiden Joko Widodo meminta pengesahan RKUHP ditunda, DPR mengatakan masih akan tetap memonitor apakah RKUHP akan dapat disepakati pada minggu ini atau sebelum masa kerja DPR kali ini selesai. https://t.co/JRN28MCsdU https://t.co/JPpraaROqh",positif
omiwagra,"RT @BBCIndonesia: BREAKING NEWS: Presiden Joko Widodo menyatakan telah memerintahkan Menteri Hukum dan HAM, Yasonna Laoly, agar pengesahan Rancangan Undang-Undang Kitab Undang-Undang Hukum Pidana (rKUHP) di DPR ditunda. https://t.co/Z1xjayTHYd https://t.co/e54HaSSdGz",positif
omboy_onp,"RT @bayuagni_: RKUHP datangnya dari pemerintah. Trus sekarang bilang menunda. 

Revisi UU KPK semua di DPR sepakat. Sekarang bilang ""kalo pemerintah bisa tunda RKUHP harusnya bisa cabut UU KPK &amp; tunda RUU lain"".

Saling bargain.

Terusin, jadi makin telanjang: dua-duanya gak ada bedanya.",positif
ollaroundyou,"RT @BatakModeren: Jika aksi demo mahasiswa hanya usung isu penolakan RKUHP, saya jamin tdk efektif karena pengesahan RKUHP sudah disepakati DPR-Pemerintah utk ditunda

Jika aksi demo hny usung penolakan Revisi UU KPK, sasaran aksi demo adalah DPR bukan presiden krn revisi itu dari inisiatif DPR",positif
Oleanderfleur,RT @baradawihuy: @BusterBorrr @bitxt Kek gini aja bole ditunda masa rkuhp ngak,positif
oktho,"RT @BangGuire: @Datuk_Tamburin Terima kasih bapak Jokowi RKUHP kau Tunda entah sampai kapan? RUU KPK Kau lanjutkan agar Kpk sulit menuntaskan Kasus2 korupsi RJ Lino mantan Dirut Pelindo TSK #KorupsiPelindo2 yg seolah2 Lino orang yg baik, wajib di bela walaupun tersangkut korupsi? https://t.co/MAr2gcbC1Z",positif
OkiklanTOP,"RT @BambangHerlandi: Kemarin sudah terbongkar siapa sebenarnya yg membangun narasi #TurunkanJokowi 

Hari ini kita tahu, siapa sebenarnya yg ngotot dg pengesahan RKUHP dan pengen negeri ini gaduh

Politikus PKS Tak Sepakat Jokowi Tunda Pengesahan RKUHP https://t.co/Urc8fANdN9",positif
OK_Rizkii,"RT @babiyanggemuk: Saya sih setuju sama RKUHP satt tapi isinya jangan kayak babi ya sat @DPR_RI  . Sedih loh kuhp kita dari jamannya napoleon bonaparte sampe dibawa belanda kesini, masa lebih bagus jaman bonaparte pemikirannya daripada kita? ga sesuai satttt",positif
ohranghaetree,RT @azwarhamsir: Yang tim ahli perumusan RKUHP aja setuju ada kekeliruan terhadap RUU KPK yang udah disahkan. Padahal kan doi ada di sisi pemerintah #MataNajwa,positif
ohayouace,"RT @Azhanzi: Yg harus diluruskan:
Pertama, kita mmg sepakat rkuhp harus dikaji ulang.
Kedua, karena kita sepakat untuk dikaji ulang, bukan berarti kita semua sepakat untuk tidak setuju semua pasal yang diajukan.",positif
oh_youlanana,"RT @Azhanzi: KUHP kita sekarang memang warisan dari penjajahan kolonial Belanda. Tapi, dengan disahkannya RKUHP kita yang baru membuat kita dijajah bangsa sendiri.",positif
OguraCake,"RT @AyuRossiFummy46: RKUHP Ditunda, Gerindra, PKS Dan PAN Meradang, Gagal Jebak Jokowi?

Bisa jadi contoh yang saya sebutkan di atas adalah merupakan bagian dari 14 pasal yang disebut bermasalah, oleh Jokowi yang melihat “jebakan” itu. 
ebar.
m artikel ini

https://t.co/uksvcbuYJZ",positif
ogebhoddob,"RT @AyraLubis: Juga president koplak😀😀

Jokowi Tiba-tiba Tunda RKUHP, Desmond: Presiden Lucu-lucuan https://t.co/hc1a5eEFKv via @po_st",positif
ofdespite,"RT @awkarin: Agenda hari ini di depan gedung DPR. Jangan sekedar tunda RKUHP, TOLAK DAN BATALKAN RKUHP. JANGAN BATASI RUANG GERAK WANITA.
Tolong representasikan namamu itu wahai pejabat Dewan PERWAKILAN Rakyat.
Mau jadi apa negara ini kalau YANG KAYA MAKIN KAYA, YANG MISKIN MAKIN MISKIN? https://t.co/7wPy7SJ0Ny",positif
oculostristi,"RT @AwalMarhab: hati hati jangan mudah terprovokasi, mahasiswa dan rakyat hanya ingin bpk.presiden bertindak(ditunda dan dikaji lagi rkuhp, ruu kpk, ruu pertahanan, dan ruu ketenagakerjaan). bukan ingin menggulingkan presiden. menurut anda, saya sotoy? koreksi saya dong:)",positif
Nyongkumis__,"RT @asumsico: “Kita layak senang dengan penundaan pengesahan RKUHP, namun penundaan RKUHP baru menjadi satu berita baik dari serangkaian berita buruk dari DPR dan Pemerintah,” - Kepala Departemen Kajian Strategis BEM Universitas Indonesia, Elang M Lazuardi

https://t.co/ed4WiqQAwN",positif
nutrisariroti,"RT @arrsenic: Tindakan Jokowi thdp RKUHP yg dijadwalkan akan disahkan pada 24 sept berbeda.

Tepat hari jumat kemarin jokowi meminta pengesahan ditunda. Namun fahri hamzah (wakil ketua DPR RI) mengatakan terlambat.

Apakah bisa pengesahan ditunda?
https://t.co/FrE7JB3ILa",positif
NusantaraDwiky,"RT @armedyanto: ""Sekali lagi, RUU Minerba, RUU Pertanahan, RUU Permasyarakatan, RUU KUHP, itu ditunda pengesahannya,"" kata Jokowi kepada wartawan di Istana Kepresidenan, Jakarta, Senin (23/9/2019) sore. https://t.co/CDWdgrNj94",positif
nusabalicom,"RT @arman_dhani: Teman-teman banyak sekali komentar Mahasiswa Hukum dan praktisi hukum soal RKUHP, tapi jika mau bisa nyimak tim @ReformasiKUHP yang membahas ini sejak 2005, mereka bisa kasih konteks yang utuh dan tidak parsial kepotong karakter twitter/instagram.

https://t.co/FiYHINaSsj",positif
nurulpurbo,"RT @arman_dhani: Mengapa menolak R-KUHP?

ICJR melakukan kajian serius sejak Desember 2013, naskah ini membahas tentang potensi masalah di R-KUHP, jika butuh alasan untuk protes, bisa baca ini. Disusun oleh  yang paham hukum.

#MosiTidakPercaya
#ReformasiDikorupsi

https://t.co/sbSB8Vzqqh",positif
nurulmsiradj,"RT @arman_dhani: Artinya, pembahasan RKUHP di DPR periode selanjutnya gak dari awal lagi, tapi meneruskan draf yg ada. Inilah yg harus dikawal. Jangan sampai ini cuma cara DPR dan pemerintah menunda draf yg ada. 

Begitupun pendukung RUU PKS jangan mau drafnya dibahas dari nol lg periode depan.",positif
nurtsanimut_,"RT @ArinThog: SAYA TIDAK MENGAHARAPKAN ANDA TURUN. KARENA JIKA ANDA TURUN, MAKA AKAN TERJADI KERIBUTAN LAGI UNTUK MEREBUTKAN TAHTA.
YG SAYA INGINKAN ADALAH PAK @jokowi MENDENGARKAN TUNTUTAN MAHASISWA.
BATALKAN! JANGAN HANYA TUNDA RKUHP.

MOHON SEKALI LAGI DG HORMAT, DENGARKAN DAN KABULKAN!",positif
nurrahmadode,RT @arif_gumantia: Komisi III DPR: RKUHP Akan Dibahas pada Periode Mendatang https://t.co/HQboiJm0Dx,positif
NurochmanAdit,"RT @arif_gumantia: Fahri Hamzah: Saya Kecewa RKUHP Ditunda
Ya kecewa ..soalnya pas dibahas dari awal lagi..sampeyan wes gak dadi DPR maneh 😁😂

 https://t.co/XcNRoOb2rj",positif
nuritkaler,"RT @Arie_Kriting: Plerrr..!!! Pak Jokowi tidak akan turun, gak usah melebar ke sana. Jelas kok tuntutan teman-teman untuk tunda penetapan RKUHP dan mendorong RUU P-KS. Eh tapi modelan pengecut kayak kalian sebenaranya gak butuh penjelasan. Mending dimaki aja. BANGSAT LO..!!! Udah. 🖕🏾 https://t.co/kaZh7QRCGI",positif
nurcholis_omar,RT @ardhydewa: Di penghujung masa bhaktinya DPR periode 14-19 ngebut Revisi Undang-undang hukum pidana sebagai pengganti KUHP peninggalan Zaman kolonial Belanda. Tapi rasanya sejumlah pasal dalam RKUHP itu banyak mengusik ranah pribadi manusia. Makin kuat pindah ke meikarta.,positif
nurafajeans,"RT @ApriliaLin: @SetiaPermadi11 @Mpoe1000 Om perwakilan mashasiswa udah ketemu anggota dewan dan DPR udah terima aspirasi mahasiswa dengan ditundanya rkuhp .. mau dialog apalagi 

https://t.co/fFWbFOhDb5",positif
nur_ikka,"RT @ApriliaLin: @lukasomanalu @yennywahid setuju, jokowi juga tidak diam soal RKUHP beliyo minta ditunda karna banyak yang harus ditinjau ulang tapi oknum-oknum DPR ngebet segera di sahkan sebelum jabatan mereka berakhir.",positif
nukman1995,RT @antaranews: PSI dukung keputusan Presiden Jokowi tunda pengesahan RKUHP https://t.co/9zgJRqI3m3,positif
nuinugraha,RT @antaranews: Presiden minta tunda pengesahan RKUHP https://t.co/ix4WYZ62cY,positif
Nthayou,"RT @Anna_MaSue: Mrk rupanya jg melakukan demo, tapi demo mendukung pengesahan RKUHP.

Mrk menilai, KUHP yg saat ini adalah warisan Belanda yg sdh tdk cocok bagi kondisi Indonesia yg sekarang ini.

Bagaimana, kalau demonya bareng mahasiswa, Ser? Seru tuh kayaknya!

🤗🤭👍
https://t.co/zkwqGvx1sB",positif
nsa_fdla,"RT @anisanisnisaa: Buat apa si buang"" tenaga buat demo RKUHP? Biarkan saja di sahkan, jika masalah pasal"" yg bermasalah tinggal tuntut saja ke Makamah Konstitusi. Lagian tidak semua pasal bermasalah kan? Jika terus di tunda kapan Indonesia punya KUHP rancangan sendiri?",positif
Nrrldy,"RT @anindyavivi: Pengesahan RKUHP DITUNDA!!!! 

Perjuangan belum berakhir temen - temen. Jangan kasih kendor pepet teroooossssss. Terimakasih semua yang sudah berjuang! Hidup rakyat Indonesia! Hidup perempuan Indonesia! Hidup mahasiswa! 💪🏾💪🏾💪🏾💪🏾💪🏾💪🏾 https://t.co/IMtXkcTuWF",positif
novitaaSW_,"RT @andreasjoshe: Yatuhan, kenapa sih ini pres bem ui ugm dan trisakti gabawa temannya yg sudah mengkaji juga dari fakultas hukum ke ILC
Dengan komentar mereka terhadap RKUHP ketawan bahwa mereka masih buta hukum, terutama dalam produk hukum pidana",positif
Novita_VitaV,"RT @andreadianto: Sekarang premis pembenaran RKUHP yg dipake adalah “menggantikan KUHP warisan Belanda”. Masalahnya bukan di warisan Belanda, tp kualitas penggantinya. Klo cuman bikin revisi KUHP yg lebih busuk, orang gak sekolah juga bisa",positif
NoviantiRiris,"RT @and_reavie: Jokowi dari 5 - 6 hari lalu umumkan PENGESAHAN RKUHP DITUNDA
Kenapa masih demo???
ADA APA?? APA ADA??.. 

*Ada nasi bungkus prof!!
 😂😂

PART 4 https://t.co/MZmuRxMv50",positif
novaladitiara93,"RT @AnakKolong_: FAHRI HAMZAH KECEWA 

""Saya Kecewa RKUHP Ditunda"", ujar @Fahrihamzah

Yang penting gaji dan tujangan serta fasilitas mewahnya tak ditunda kan..?  

 https://t.co/nr8PM80mrn",positif
notivani,"RT @Ametramadhan: Melihat eskalasi isu RKUHP sekarang, meski 'katanya' sdh ditunda.. Ko aneh masyarakat msh diem, ga gerak? Pdhl dampak dr RKUHP ini menyinggung dan menyoal semua lapisan.. SEMUA! 

Ya perempuan, laki2, homo, lesbi, PSK, warga miskin kota, buruh, gelandangan 

Saatnya organize!",positif
NoTidehunterr,"RT @Ametramadhan: Malam ini di tamansari, sedang membahas soal RKUHP.. Membahas kelucuan rezim dalam merancang UU. 

Dari lintas organisasi dan komunitas RKUHP ini dibahas. 

Ada dari Kolektif angin malam (feminis) 
Rumah Cemara
AJI Bandung
LBH
Ucok homicide https://t.co/YZBx9uV4fm",positif
north_enz,"RT @althienjp: Tetap waspada! 

Tunda setelah didemo ki piye? Kok rakyat dikondisikan demo terus? Kerja apa dpr dan plesiden? 

https://t.co/CrlGOfv6z3",positif
noahitubayu,RT @akunusam: RKUHP DITUNDA. CONGRATS TEMAN-TEMAN SEMUA😭😭😭😭,positif
NL_nurdianii,"RT @Akaiwarang_: Yg ngajuin RKUHP pemerintah trus yg minta ditunda dia2 jg.
 Ahh dasar 25 jigo.

#TurunkanJokowi https://t.co/A7ZnoWlCGE",positif
NKR_Internet,"RT @AJIIndonesia: Revisi KUHP harus sesuai dengan semangat zaman dan perubahan, yang salah satunya adalah dg mengurangi pemidanaan, memperbesar ruang kebebasan dan menghormati prinsip-prinsip demokrasi. 
https://t.co/yyKQC3zQoy
#TolakRKHUP #SaveKPK https://t.co/a2ny3YnPZ2",positif
NKA_10,"RT @ajiebuhron: Beda level pak, KUHP Belanda dibuat pk penelitian Sosial-Antropologis makanya hasil aturannya relevant untuk ratusan tahun kedepan, RKUHP dibuat pk dasar studi banding jalan2 campur kepentingan golongan tertentu, makanya hasilnya yaa... begituuu https://t.co/AT1raJuHbv",positif
Nity_hsw,RT @Aisyah13430054: @negativisme Bukannya titah presiden sudah jelas. Bahwa rkuhp akan ditunda untuk periode dpr selanjutnya. Semuanya masih ada kemungkinan. Terus saja menyuarakan,positif
nitha21nya,"RT @aishazzahra: Pertukaran pikiran untuk lebih kritis terhadap tuntutan aksi: berikut adalah kajian dan sikap Dema Justicia yang tidak serta-merta  menolak RKUHP menggunaan telaah sosiologis dan politis, silakan membaca:

https://t.co/7n7YGmVgYl",positif
nitadiswanda,"RT @aiek__esthreem_: Semua UU yg dipercepat penyelesaiannya sdh diprotes  publik scr luas krn merugikan rakyat spt UU KPK, UU SDA &amp; UU Pertanahan.

Klo RKUHP ditunda pengesahannya, revisi RUU PAS jg harus ditunda. ""Kenapa? Karena satu napas dgn KUHP ini juga"" ujar Desmond

#DukungMahasiswaBelaNegara https://t.co/0B4TvyrkO1",positif
nissachaaa,"RT @AhmadShidiqy: @muliawanramzy 👦 : pak ke Senayan ya
👨 : Mau demo ya
👩 : Iya pak
👨 : RKUHP
👦👩 : Iya pak
👨 : Bknnya udh ditunda
👩👦 : Ditunda doang kan pak,
👨 : Demo kalian itu ga relevan mas
👦 : Ga relevan gimana pak mksdnya
👨 : Maaf mas mbak, sbnrnya saya ini adl Wiranto https://t.co/mRQHzmBzfR",positif
nisma_mokhtar,"RT @agustheobama: Terima kasih buat mahasiswa dan masyarakat yang turun ke jalan harı ini untuk menuntut revisi draft RKUHP! Tolak oligarki, pasal multi-interpretasi, dan pembredelan kebebasan berpendapat! https://t.co/lzvRmRLSWF",positif
nirwandra,"RT @agapigisss: Mahasiswa lain kalang kabut karena RKUHP yang cacat, yang ini malah kalang kabut tunda pengesahan RUU P-KS. emang dari dulu gapernah sejalan sama aliansi aneh ini sih. https://t.co/WEJLaZiMEj",positif
ninisaisyah,"RT @aewin86: Pesan dari Profesor di Medsos temen saya:

Sebagai mahasiswa yg berpikiran kritis dan jernih, coba lakukan penelitian : 
- Apa alasan2 mahasiswa menolak RKUHP? 

- Apa kekurangan/kelemahan RKUHP disbandingkan dgn WvS (KUHP warisan Belanda)?",positif
ninghalid,"RT @AdzmiQ: @shitlicious Jadi berpikir ""kayanya emang kita pake uu warisan belanda aja deh, daripada bikin sendiri malah tambah parah"" eberarti rkuhp ini lebih toxic ya dari penjajahan belanda?",positif
